congress,rollnumber,chamber,bill_no,type,reverse_vote,aid_type,bill_name,link_1,link_2,Column,Column2,Column3
79,176,House,HR5356,gov,N,,Provide Assistance To The Republic Of China In Augmenting And Maintaining A Naval Establishment. On Rankin Motion That Further Proceeding Be Dispensed With.,https://voteview.com/rollcall/RH0790176,,,,
79,178,House,HR6084,mil,Y,,"Hr 6084. Amend The Pay Readjustment Act Of 1943, As Amended, So As To Provide An Increase In Pay For Personnel Of The Army, Navy, Marine Corps Coa St Guard, Coast And Geodetic Survey, And Public Health Service. On Adoption Of Conference Report.",https://voteview.com/rollcall/RH0790178,,,,
79,195,House,HR6837,mil,N,,Appropriations For The Military Establishment,https://voteview.com/rollcall/RH0790195,,,,
79,203,House,SJRE138,gov,Y,,S J Res 138. Joint Resolution To Implement Further The Purposes Of The Bretton Woods Agreements Act By Authorizing The Sec. Of The Treasury To Carry Out An Agreement With The United Kingdom. On Motion To Recommit With Instructions.,https://voteview.com/rollcall/RH0790203,,,,
79,204,House,SJRE138,gov,N,,S J Res 138. Joint Resolution To Implement Further The Purposes Of The Bretton Woods Agreements Act By Authorizing The Sec. Of The Treasury To Carry Out An Agreement With The United Kingdom.,https://voteview.com/rollcall/RH0790204,,,,
80,32,House,HJRE153,econ,Y,,"H J Res 153. Provide For Relief Assistance To The People Of Countries Devastated By War. On Junkman Amend. To Strike Out $350,000,000 And Insert $200,000,000.",https://voteview.com/rollcall/RH0800032,,,,
80,34,House,HJRE153,econ,N,,Providing For Relief Assistance To The People Of Countries Devastated By War.,https://voteview.com/rollcall/RH0800034,,,,
80,37,House,HR2616,econ,N,,Assistance To Greece And Turkey Act,https://voteview.com/rollcall/RH0800037,,,,
80,38,House,HJRE153,econ,Y,,"H J Res 153. Joint Resolution Providing For Relief Assistance To The People Of Countries Devastated By War, On Motion To Recommit Conference Report W/instruction.",https://voteview.com/rollcall/RH0800038,,,,
80,38,Senate,S938,econ,Y,,S 938. Provide Assistance To Greece And Turkey. Johnson (colo.) Amend. To Provide Nonmilitary Assistance.,https://voteview.com/rollcall/RS0800038,,,,
80,39,Senate,S938,econ,Y,,S 938. Robertson (wyo.) Motion To Table The Bill.,https://voteview.com/rollcall/RS0800039,,,,
80,40,Senate,S938,econ,N,,S938 Passage,https://voteview.com/rollcall/RS0800040,,,,
80,50,House,HRE224,gov,N,,"H Res 224. Resolution That The House Resolve Itself Into The Committee Of The Whole For Further Consideration Of Hr 3342, A Bill To Enable The Gov't More Effectively To Carry On Its Foreign Relations By Means Of Promotion Of The Interchange Of Persons Knowl Edge, And Skills Between The People Of The U.S. And Other Countries.",https://voteview.com/rollcall/RH0800050,,,,
80,51,House,HR3342,gov,N,,"Enable The Gov't More Effectively To Carry On Its Foreign Relations By Means Of Promotion Of The Interchange Of Persons Knowl Edge, And Skills Between The People Of The U.S. And Other Countries, And By Means Of Public Dissemination Abroad Of Information About The U.S., Its People, And Its Policies. Passage.",https://voteview.com/rollcall/RH0800051,,,,
80,57,Senate,HJRE153,gov,Y,,"H J Res 153. Joint Resolution Providing For Relief Assistance To The People Of Countries Devastated By War. Kem Amend. To Strike $350,000,000 And Insert $200,000,000.",https://voteview.com/rollcall/RS0800057,,,,
80,58,Senate,HJRE153,gov,N,,Relief Assistance To The People Of Countries Devastated By War,https://voteview.com/rollcall/RS0800058,,,,
80,82,House,S1774,econ,N,,"Promote The General Welfare, National Interest, And Foreign Policy Of The U.S. By Providing Supplies To Certain European Countries On An Emergency Basis. Adoption Of Conference Report.",https://voteview.com/rollcall/RH0800082,,,,
80,109,House,S2202,econ,N,,"Promote The General Welfare, National Interest, And Foreign Policy Of The U.S. Through Necessary Economic And Financial Assistance To Foreign Countries Which Undertake To Cooperate With Each Other In The Establishment And Maintenance Of Economic Conditions Essential To A Peaceful And Prosperous World. Adoption Of Conference Report.",https://voteview.com/rollcall/RH0800109,,,,
80,112,House,HR6226,mil,N,,Supplemental Defense Appropriations,https://voteview.com/rollcall/RH0800112,,,,
80,118,Senate,HR4002,mil,Y,,"Hr 4002. Dworshak Motion To Recommit With Instructions To Deduct $100,000,000.",https://voteview.com/rollcall/RS0800118,,,,
80,119,Senate,HR4002,mil,N,,War Dept Appo,https://voteview.com/rollcall/RS0800119,,,,
80,131,Senate,S1774,econ,Y,,"S 1774. Provide Supplies To Certain European Countries On An Emergency Basis. Malone Amend. To Substitute $400,000,000 For The Amount Reported By The Committee. (a Decrease)",https://voteview.com/rollcall/RS0800131,,,,
80,132,Senate,S1774,econ,N,,"S 1774. Provide Supplies To Certain European Countries On An Emergency Basis., Pass",https://voteview.com/rollcall/RS0800132,,,,
80,133,Senate,Treaty,treaty,N,,"Executive Ii, The Inter-american Treaty Of Reciprocal Assistance. Ratification.",https://voteview.com/rollcall/RS0800133,,,,
80,137,House,HRE633,econ,N,,Foreign Aid Appropriations,https://voteview.com/rollcall/RH0800137,,,,
80,145,Senate,S2202,econ,Y,,"S 2202. Promote The General Welfare, National Interest, And Foreign Policy Of The U.S. Through Necessary Economic And Financial Assistance To Foreign Countries Which Undertake To Cooperate W/each Other In The Establishment And Maintenance Of Economic Conditions Essential To A Peaceful And Prosperous World. Ball Amend. Providing That Recipient Countries Shall Maintain A Rate Of Exchange Reflecting W/reasonable Accuracy The Relative Purchasing Power Of Such Currency.",https://voteview.com/rollcall/RS0800145,,,,
80,147,House,HRES671,mil,N,,"Resolution Providing For The Consideration Of Hr 6401, A Bill To Provide For The Common Defense By Increasing The Strength Of The Armed Forces Of The U.S.",https://voteview.com/rollcall/RH0800147,,,,
80,149,Senate,S2202,econ,Y,,S 2202. Taft Amend. To Reduce The First Year Authorization Of Funds.,https://voteview.com/rollcall/RS0800149,,,,
80,153,House,HR6771,mil,Y,,Hr 6771. Appropriations For Military Functions Administered By The National Military Establishment With Amendments. Motion To Recommit.,https://voteview.com/rollcall/RH0800153,,,,
80,153,Senate,S2202,econ,N,,S 2202 Passage,https://voteview.com/rollcall/RS0800153,,,,
80,154,House,HR6771,mil,N,,"Making Appropriations For Military Functions Administered By The National Military Establishment For The Fiscal Year Ending June 30, 1949, And For Other Purposes",https://voteview.com/rollcall/RH0800154,,,,
80,158,House,S2655,mil,N,,"Provide For The Common Defense By Increasing The Strength Of The Armed Forces Of The U.S., Including The Reserve Components. Adoption Of Conference Report",https://voteview.com/rollcall/RH0800158,,,,
80,159,House,HR6801,econ,N,,Approprations For Foreign Aid,https://voteview.com/rollcall/RH0800159,,,,
80,183,Senate,HR6226,mil,N,,Hr 6226. Supplemental Appropriations For The National Defense. Passage.,https://voteview.com/rollcall/RS0800183,,,,
80,198,Senate,S2242,gov,N,,Authorize For A Limited Period Of Time The Admission Into The U.S. Of Certain Displaced Persons For Permanent Residence.,https://voteview.com/rollcall/RS0800198,,,,
80,210,Senate,S2655,mil,Y,,S 2655. Capehart Amend. Prohibiting Involuntary Induction Into The Armed Services Except Under Certain Conditions.,https://voteview.com/rollcall/RS0800210,,,,
80,212,Senate,S2655,mil,Y,,S 2655. Morse Amend. Decreasing The Involuntary Induction Term Of Servicemen From 24 To 18 Monthe.,https://voteview.com/rollcall/RS0800212,,,,
80,216,Senate,S2655,mil,N,,"Provide For The Common Defense By Increasing The Strength Of The Armed Forces Of The U.S., Including The Reserve Components",,,,,
80,218,Senate,SRE239,gov,N,,S Res 239. Resolution Reaffirming The Policy Of The U.S. To Achieve International Peace And Security Through The Un.,https://voteview.com/rollcall/RS0800218,,,,
80,228,Senate,HR6081,econ,N,,For Aid Appo,https://voteview.com/rollcall/RS0800228,,,,
81,7,House,HR1211,gov,N,,Presidential Authorization On Tariffs,https://voteview.com/rollcall/RH0810007,,,,
81,12,Senate,HR4830,econ,N,,For Aid Appo,https://voteview.com/rollcall/RS0810156,,,,
81,39,Senate,S1209,econ,Y,,"S 1209. Amend The Economic Cooperation Act Of 1948. Wherry Amend. To Taft Amend. Reducing By 15% Rather Than 10%, The Authorized Appropriation For The Fiscal Year Ending June 30, 1950.",https://voteview.com/rollcall/RS0810039,,,,
81,40,Senate,S1209,econ,Y,,S 1209. Taft Amend. Reducing By 10% The Authorized Appropriation In The Bill For The Fiscal Year 6/30/1950.,https://voteview.com/rollcall/RS0810040,,,,
81,43,House,HR3748,econ,N,,Amend The Economic Cooperation Act Of 1948.,https://voteview.com/rollcall/RH0810043,,,,
81,44,Senate,S1209,econ,Y,,S 1209. On Baldwin Amend. Prohibiting Assistance To Any Participating Country Or Protectorate During Any Period W/ Respect To Which The Sec. Of State Determines That Such Country Or Protectorate Is Violating Any Treaty With The Us.,https://voteview.com/rollcall/RS0810044,,,,
81,53,Senate,S1209,econ,Y,,"S 1209. On Fulbright Amend. Inserting The Word ""political.""",https://voteview.com/rollcall/RS0810053,,,,
81,55,Senate,S1209,econ,N,,Economic Cooperation For European Recovery Act,https://voteview.com/rollcall/RS0810055,,,,
81,98,House,HR5895,econ,N,,To Promote The Foreign Policy And Provide For The Defense And General Welfare Of The United States By Furnishing Military Assistance To Foreign Nations.,https://voteview.com/rollcall/RH0810098,,,,
81,105,House,HR4830,econ,N,,"Appropriations For Foreign Aid For The Fiscal Year Ending June 30 1950. C Onference Report; On Motion To Recede And Concur In Senate Amend. No. 7 ($150,000,000-loans).",https://voteview.com/rollcall/RH0810105,,,,
81,123,House,HR5330,econ,N,,"To Promote World Peace And The General Welfare, National Interest, And Foreign Policy Of The United States By Providing Aid To The Republic Of Korea.",https://voteview.com/rollcall/RH0810123,,,,
81,127,Senate,Treaty,treaty,Y,,Nap. Watkins Reservation Providing That Under Article V The Congress Is Not Obligated To Declare War Or Authorize Military Assistance In The Event Of Armed Attack On Any Party To The Treaty.,https://voteview.com/rollcall/RS0810127,,,,
81,128,Senate,Treaty,treaty,N,,"Join Nato, Nap. Resolution Of Ratification (2/3 Majority Required).",https://voteview.com/rollcall/RS0810128,,,,
81,130,Senate,HR4830,econ,Y,,"Hr 4830. Second Committee Amend., Reducing Funds To Carry Out Provisions Of The Economic Cooperation Act For Economic Aid To Europe.",https://voteview.com/rollcall/RS0810130,,,,
81,131,House,S2319,econ,N,,"To Promote World Peace And The General Welfare, National Interest, And Foreign Policy Of The United States By Providing Aid To The Republic Of Korea. Senate Version",https://voteview.com/rollcall/RH0810131,,,,
81,152,Senate,HR4830,econ,Y,,Hr 4830. Committee Amend. Prohibiting Use By A Participating Country Of Local Counterpart Funds In Cases Where That Country Has Failed To Comply W/treaties With The U.S.,https://voteview.com/rollcall/RS0810152,,,,
81,155,Senate,HR4830,econ,Y,,Hr 4830. Kem Motion To Suspend Paragraph 4 Of Senate Rule Xvi In Order To Offer An Amend. Which Would Prohibit Furnishing Money To Any Participating Country Which Undertakes To Acquire Or Operate Any Basic Industry For Operation By The State Or Agency Thereof.,https://voteview.com/rollcall/RS0810155,,,,
81,190,House,HR7797,econ,N,,Provide Foreign Economic Assistance,https://voteview.com/rollcall/RH0810190,,,,
81,191,Senate,HR1211,gov,N,,Presidential Authorization On Tariffs,https://voteview.com/rollcall/RS0810191,,,,
81,195,Senate,HR5895,econ,Y,,Hr 5895. Promote The Foreign Policy And Provide For The Defense And General Welfare Of The U.S. By Furnishing Military Assistance To Foreign Nations. George Amend. To Reduce Appropriation Authorization By $200 Million.,https://voteview.com/rollcall/RS0810195,,,,
81,196,House,HJRE334,gov,N,,Joint Resolution To Amend Certain Laws Providfor Membership And Participation By The U.S. In Certain International Organizations. On Passage.,https://voteview.com/rollcall/RH0810196,,,,
81,196,Senate,HR5895,econ,Y,,Hr 5895. Knowland Amend. To Reduce Appropriation Authorization By $100 Million And Contract Authority By $100 Million.,https://voteview.com/rollcall/RS0810196,,,,
81,198,Senate,HR5895,econ,N,,To Promote The Foreign Policy And Provide For The Defense And General Welfare Of The United States By Furnishing Military Assistance To Foreign Nations.,https://voteview.com/rollcall/RS0810198,,,,
81,201,House,HR6826,mil,N,,Extend The Selective Service Act Of 1948 For A Period Of 3 Years. Adoption Of Conference Report.,https://voteview.com/rollcall/RH0810201,,,,
81,208,House,HR8083,gov,N,,Export-import Bank Us Investments Abroad,https://voteview.com/rollcall/RH0810208,,,,
81,214,House,S3809,gov,N,,Amend The Nutual Defense Assistance Act Of 1949. On Passage.,https://voteview.com/rollcall/RH0810214,,,,
81,221,Senate,S2319,econ,N,,"Aid To Republic Of Korea, Pass",https://voteview.com/rollcall/RS0810221,,,,
81,248,House,S4029,mil,N,,"Amend. The Selective Service Act Of 1948, As Amended, So As To Provide For Special Registration, Classification, And Induction Of Certain Medical Dental, And Allied Specialist Categories.",https://voteview.com/rollcall/RH0810248,,,,
81,269,House,HR9853,econ,N,,Emergency Relief Assistance To Yugoslavia. Passage,https://voteview.com/rollcall/RH0810269,,,,
81,316,Senate,S3304,econ,Y,,"S 3304. Amend The Economic Cooperation Act Of 1948. Kem Amend. To Reduce By $1,000,000,000 The Authorized Appropriations.",https://voteview.com/rollcall/RS0810316,,,,
81,317,Senate,S3304,econ,Y,,"S 3304. Taft Amend To Reduce By $500,000,000 The Authorized Appropriations.",https://voteview.com/rollcall/RS0810317,,,,
81,318,Senate,S3304,econ,Y,,"S 3304. Bridges Amend. To Reduce By $250,000,000 The Authorized Appropriations.",https://voteview.com/rollcall/RS0810318,,,,
81,328,Senate,S3304,econ,N,,Amend Economic Cooperation For European Recovery Act,https://voteview.com/rollcall/RS0810328,,,,
81,361,Senate,HR7797,econ,N,,Hr 7797. Provide Foreign Economic Assistance. Adoption Of Conference Report.,https://voteview.com/rollcall/RS0810341,,,,
81,364,Senate,HR6826,mil,N,,Extend The Selective Service Act Of 1948 For A Period Of 3 Years. Adoption Of Conference Report.,https://voteview.com/rollcall/RS0810364,,,,
81,366,Senate,S3809,econ,N,,S 3809. Amend The Mutual Defense Assistance Act Of 1949. Passage.,https://voteview.com/rollcall/RS0810366,,,,
81,408,Senate,S3936,gov,Y,,"S 3936. Bricker Amend. Eliminating Selective Controls, So That If And When Price Controls Are Put Into Effect, Wage Controls Also Will Be Applied.",https://voteview.com/rollcall/RS0810408,,,,
81,410,Senate,S3936,gov,Y,,S 3936. Capehart Amend. Eliminating Title Dealing W/price And Wage Stabilization.,https://voteview.com/rollcall/RS0810410,,,,
81,413,Senate,HR9176 ,gov,N,,Hr 9176 (same As S 3936) Passage.,https://voteview.com/rollcall/RS0810413,,,,
81,448,Senate,S4234,econ,Y,,S 4234. Emergency Relief Assistance To Yugoslavia. Knowland Motion To Recommit With Instructions That It Must Be Reported Back Forthwith.,https://voteview.com/rollcall/RS0810448,,,,
81,449,Senate,S4234,econ,N,,"Emergency Relief Assistance To Yugoslavia, Pass",https://voteview.com/rollcall/RS0810449,,,,
82,4,House,HR1001,mil,N,,Auth The Con Of Modern Naval Vesses,https://voteview.com/rollcall/RH0820004,,,,
82,19,Senate,S1,mil,N,,Universal Military Training,https://voteview.com/rollcall/RS0820019,,,,
82,30,House,HR3096,mil,N,,"Bill Relating To The Acquisition And Disposition Of Land And Interests In Land By The Army, Navy, Air Force, And Fed. Civil Defense Admin. On Question, Will The House, On Reconsideration Pass The Bill, The Objections Of The Pres. To The Contrary Notwithstanding.",https://voteview.com/rollcall/RH0820030,,,,
82,35,House,S872,econ,N,,Furnish Emergency Food Aid To India,https://voteview.com/rollcall/RH0820035,,,,
82,37,House,S1,mil,N,,Universal Military Training,https://voteview.com/rollcall/RH0820037,,,,
82,46,Senate,S872,econ,N,,S 872. Furnish Emergency Food Aid To India. Ferguson Amend. To Committee Amend. And Portion Of Text Of Bill Providing That All Aid Under Bill Shall Be On A Loan Basis; That Funds For Loan Shall Be From Existing Eca Appropriations; And Providing That Credit Shall Be Based On Agreement W/india For Materials In Which U.S. Resources Are Deficient.,https://voteview.com/rollcall/RS0820046,,,,
82,47,Senate,HR1612,gov,Y,,Hr 1612. Extend The Authority Of The Pres. To Enter Into Trade Agreements Under Section 350 Of The Tariff Act. Malone Amend. As Substitute.,https://voteview.com/rollcall/RS0820047,,,,
82,48,Senate,HR1612,gov,N,,Extend The Authority Of The Pres. To Enter Into Trade Agreements Under Section 350 Of The Tariff Act,https://voteview.com/rollcall/RS0820048,,,,
82,85,House,HR5113,econ,N,,Mutual Security Act (replaced Marshall Plan),https://voteview.com/rollcall/RH0820085,,,,
82,88,House,S2006,econ,N,,Increase The Lending Authority Of Export-import Bank Of Washington And Extend The Period Within Which The Bank May Make Loans. Passage.,https://voteview.com/rollcall/RH0820088,,,,
82,88,Senate,S1717,gov,N,,Defense Production Act,https://voteview.com/rollcall/RS0820088,,,,
82,99,House,HR4740,econ,N,,"Ppropriations For The Depts. Of State, Justice, Commerce, And The Judiciary. Conference Report. On Motion To Recede And Concur In Senate Amend. No. 103, W/an Amend. (relating To Us Contributions To International Organizations.)",https://voteview.com/rollcall/RH0820099,,,,
82,100,House,HR5684,econ,N,,Appropriations For Mutual Security Act,https://voteview.com/rollcall/RH0820100,,,,
82,132,Senate,HR4740,gov,N,,"Hr 4740. Mundt Amend. Increasing By $22,000,000 Funds For Voice Of America.",https://voteview.com/rollcall/RS0820132,,,,
82,138,House,HR7391,mil,N,,Defense Appropriations,https://voteview.com/rollcall/RH0820138,,,,
82,139,Senate,HR5113,econ,N,,"Hr 5113. Green Amend. To Increase By $1,000,000,000 Authorization For Funds.",https://voteview.com/rollcall/RS0820139,,,,
82,141,Senate,HR5113,econ,Y,,"Hr 5113. Dirksen Amend. Reducing By $250,000,000 Authorized Funds For Economic Aid To Europe.",https://voteview.com/rollcall/RS0820141,,,,
82,142,Senate,HR5113,econ,Y,,"Hr 5113. Long Amend. Reducing By $250,000,000 Authorized Funds For Military Assistance To Europe.",https://voteview.com/rollcall/RS0820142,,,,
82,150,Senate,HR5113,econ,N,,Mutual Security Act,https://voteview.com/rollcall/RS0820150,,,,
82,153,House,HR7005,econ,N,,"An Act To Amend The Mutual Security Act Of 1951, And For Other Purpose",https://voteview.com/rollcall/RH0820153,,,,
82,155,House,HJRED4667,mil,N,,"Joint Resolution To Continue The Effectiveness Of Certain Statutory Provisions For The Duration Of The National Emergency Proclaimed Dec. 16, 1950, And 6 Months Thereafter, But Not Beyond June 30, 1953.",https://voteview.com/rollcall/RH0820155,,,,
82,156,House,HR8120,mil,N,,Const At Cert Mil Bases,https://voteview.com/rollcall/RH0820156,,,,
82,191,Senate,S2170,gov,N,,Defense Production Act,https://voteview.com/rollcall/RS0820191,,,,
82,198,Senate,HR5684,econ,N,,Appo For Mutual Security Act,https://voteview.com/rollcall/RS0820198,,,,
82,239,Senate,S3086,econ,N,,Amend 1951 Mutual Security Act,https://voteview.com/rollcall/RS0820239,,,,
82,268,Senate,HR7005,econ,N,,Hr 7005. Amend The Mutual Security Act Of 1950. Adoption Of Conference Report,https://voteview.com/rollcall/RS0820268,,,,
82,305,Senate,HR7391,mil,Y,,"Hr 7391. Morse Amend. Reducing By $540 Million Funds For Maintenance And Operation, Air Force.",https://voteview.com/rollcall/RS0820305,,,,
82,306,Senate,HR7391,mil,Y,,"Hr 7391. Morse Amend. Reducing By $200 Million Funds For Maintenance And Operation, Air Force.",,,,,
82,307,Senate,HR7391,mil,N,,Defense Dept. Appo,https://voteview.com/rollcall/RS0820307,,,,
83,38,House,HR5659,econ,N,,Provide For The Transfers Of Price-support Wheat To Pakistan,https://voteview.com/rollcall/RH0830038,,,,
83,43,House,HR5969,mil,N,,Defenseappropriations,https://voteview.com/rollcall/RH0830043,,,,
83,50,House,HR5710,econ,N,,Amend Mutual Security Act,https://voteview.com/rollcall/RH0830050,,,,
83,51,House,HR6200,gov,N,,Hr 6200. Supplemental Appropriations For The Fiscal Year Ending June 30 1954. Motion To Recommit With Instructions. (voice Of America),https://voteview.com/rollcall/RH0830051,,,,
83,54,Senate,S2128,econ,Y,,"S. 2128. Goldwater Amend. Respecting Aid To France And Associated States Of Cambodia, Laos, And Viet-nam For Mutual Defense Assistance Providing That Mutual Security As To Associated States Be Administered So As To Encourage Their Self-gov't.",https://voteview.com/rollcall/RS0830054,,,,https://congressional-proquest-com.mutex.gmu.edu/congressional/docview/t19.d20.cr-1953-0701?accountid=14541
83,55,Senate,S2128,econ,N,,"S. 2128. Case Motion To Table Long Motion To Recommit W/instructions To Report Back By July 15, 1953, W/reductions So As To Provide A Total Of $3,818,732,500.",https://voteview.com/rollcall/RS0830055,,,,
83,56,Senate,S2128,econ,Y,,"S. 2128. Long Motion To Recommit W/instructions To Report Back By July 15, 1953, W/reductions So As To Provide A Total Of $3,818,732,500.",https://voteview.com/rollcall/RS0830056,,,,
83,66,House,HR6391,econ,Y,,Appropriations For Mutual Security. Motion To Recommit Conference Report.,https://voteview.com/rollcall/RH0830066,,,,
83,67,House,HR6391,econ,N,,Approprations For Mutual Security,https://voteview.com/rollcall/RH0830067,,,,
83,72,House,HR5337,mil,N,,Hr 5337. Provide For The Establishment Of A U.S. Air Force Academy. Passage.,https://voteview.com/rollcall/RH0830072,,,,
83,76,Senate,HR5969,mil,N,,Hr 5969. Maybank Amend. Increasing By $400 Million Funds For Air Force.,https://voteview.com/rollcall/RS0830076,,,,
83,83,Senate,HR6391,econ,Y,,"Hr 6391. Appropriations For Mutual Security. Long Amend. Providing That Not More Than $6,196,688,179 Of The Aggregate Appropriated Shall Be Available For Obligation.",https://voteview.com/rollcall/RS0830083,,,,
83,84,Senate,HR6391,econ,Y,,Hr 6391. Mc Carthy Motion To Suspend The Rules For The Purpose Of Proposing An Amend. To Reduce Assistance To Any Recipient Nation By $1 Million For Each Cargo Of Communist Goods Shipped Prior To Date On Which Communist China Becomes Party To Final Korean Peace.,https://voteview.com/rollcall/RS0830084,,,,
83,85,Senate,HR6391,econ,Y,,Hr 6391. Ellender Amend. To Reduce By $500 Million Funds For Military Assistance To Europe.,https://voteview.com/rollcall/RS0830085,,,,
83,86,Senate,HR6391,econ,Y,,"Hr 6391. Ellender Amend. To Reduce By $71,800,000 Funds For Mutual Defense Financing, Economic And Technical Assistance To Europe.",https://voteview.com/rollcall/RS0830086,,,,
83,87,Senate,HR6391,econ,Y,,"Hr 6391. Jenner Amend. Limiting To $5,580,000,000 Aggregate Funds Available To Countries Covered By Measure.",https://voteview.com/rollcall/RS0830087,,,,
83,88,Senate,HR6391,econ,Y,,Hr 6391. Gore Amend. Eliminating $50 Million For Mutual Special Weapons Planning.,https://voteview.com/rollcall/RS0830088,,,,
83,89,Senate,HR6391,econ,N,,Mutual Security Act Appo,https://voteview.com/rollcall/RS0830089,,,,
83,90,House,HR8873,mil,N,,Appropriations For The Dept. Of Defense And Related Independent Agencies,,,,,
