icpsr,fate,replaced_by,notes
4983,Left for another office,Interventionist,"Replaced by HARDEN, Cecil Murray, who later flips
https://en.wikipedia.org/wiki/Noble_J._Johnson"
5434,Flipped or moderated,Not Replaced,
9917,Flipped or moderated,Not Replaced,
10459,Defeated in general,Interventionist,"Replaced by Democrat and interventionist, RABAUT, Louis Charles"
188,Flipped or moderated,Not Replaced,
464,Flipped or moderated,Not Replaced,
2538,Flipped or moderated,Not Replaced,
2653,Flipped or moderated,Not Replaced,
3096,Flipped or moderated,Not Replaced,
3105,Flipped or moderated,Not Replaced,
3534,Flipped or moderated,Not Replaced,
3831,Flipped or moderated,Not Replaced,
3890,Defeated in primary,Isolationist,"Primaried by HR Gross, https://en.wikipedia.org/wiki/John_W._Gwynne"
4031,Flipped or moderated,Not Replaced,https://en.wikipedia.org/wiki/T._Millet_Hand
4050,Flipped or moderated,Not Replaced,
4082,Defeated in general,Interventionist,"Replaced by Democrat and interventionist, WALSH, John Richard"
4493,Flipped or moderated,Not Replaced,"https://history.house.gov/People/Listing/H/HOFFMAN,-Richard-William-(H000689)/"
5059,Flipped or moderated,Not Replaced,NA
5377,Flipped or moderated,Not Replaced,
5602,Flipped or moderated,Not Replaced,
6204,Flipped or moderated,Not Replaced,
6389,Flipped or moderated,Not Replaced,https://en.wikipedia.org/wiki/William_E._McVey
6863,Flipped or moderated,Not Replaced,https://en.wikipedia.org/wiki/Charles_P._Nelson_(congressman)
7799,Flipped or moderated,Not Replaced,https://www.kshs.org/kansapedia/edward-herbert-rees/16992
7996,Died in office,Noncommitted,"Replaced by Democrat and fence sitter, GILMER, William Franklin (Dixie)
https://en.wikipedia.org/wiki/John_W._Gwynne"
8508,Holdout,Not Replaced,Final house seat: 88th
9086,Retired,Isolationist,"Replaced by Isolationist, JENISON, Edward Halsey
https://en.wikipedia.org/wiki/Jessie_Sumner"
10303,Flipped or moderated,Not Replaced,
10330,Defeated in general,Interventionist,"Replaced by Democrat and interventionist, PFOST, Gracie Bowers"
18,Flipped or moderated,Not Replaced,
173,Flipped or moderated,Not Replaced,NA
550,Flipped or moderated,Not Replaced,
641,Retired,Interventionist,"Replaced by Democrat and interventionist, CHRISTOPHER, George Henry"
986,Flipped or moderated,Not Replaced,
1000,Flipped or moderated,Not Replaced,
1254,Holdout,Not Replaced,
1324,Defeated in general,Interventionist,"Replaced by Democrat and Interventionist, MURRAY, James Cunningham"
1340,Flipped or moderated,Not Replaced,
1722,Flipped or moderated,Not Replaced,
1748,Defeated in general,Interventionist,"Replaced by Democrat and interventionist, HAYWORTH, Donald"
1851,Retired,Interventionist,"Replaced by Isolationist, VURSELL, Charles Wesley, who later flipped"
2298,Flipped or moderated,Not Replaced,NA
2935,Flipped or moderated,Not Replaced,NA
3682,Flipped or moderated,Not Replaced,NA
3737,Flipped or moderated,Not Replaced,NA
3851,Flipped or moderated,Not Replaced,NA
4139,Flipped or moderated,Not Replaced,
4165,Flipped or moderated,Not Replaced,NA
4482,Flipped or moderated,Not Replaced,
4880,Flipped or moderated,Not Replaced,NA
6449,Flipped or moderated,Not Replaced,NA
7411,Flipped or moderated,Not Replaced,
7415,Flipped or moderated,Not Replaced,NA
7777,Flipped or moderated,Not Replaced,https://en.wikipedia.org/wiki/B._Carroll_Reece
8322,Flipped or moderated,Not Replaced,NA
9427,Flipped or moderated,Not Replaced,NA
9578,Holdout,Not Replaced,Final house seat: 91st
672,Flipped or moderated,Not Replaced,
2038,Flipped or moderated,Not Replaced,
5410,Flipped or moderated,Not Replaced,
5885,Flipped or moderated,Not Replaced,
6276,Flipped or moderated,Not Replaced,
6851,Defeated in general,Interventionist,"Defeated by Democrat and interventionist, BURNSIDE, Maurice Gwinn
https://en.wikipedia.org/wiki/Will_E._Neal
"
7472,Defeated in general,Interventionist,"Replaced by Democrat and interventionist,BLATNIK, John Anton"
