icpsr,bioname,party_code,state_abbrev,nominate_dim1,nominate_dim2,total_yay,term_total_career,term_total_period,term_total_after,loyal,79,80,81,82,83,84,X79_year
2065,"CORBETT, Robert James",200,PA,0.071,-0.529,36,15,6,8,N,Fence Sitter,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,1945
2087,"COTTON, Norris H.",200,NH,0.395,-0.318,24,4,4,NA,Y,NA,Interventionist,Interventionist,Interventionist,Interventionist,NA,1945
2089,"COUDERT, Frederic RenÃƒÆ’Ã‚Â©, Jr.",200,NY,0.225,-0.704,18,6,5,1,N,NA,Interventionist,Fence Sitter,Interventionist,Fence Sitter,Interventionist,1945
2143,"CRAMER, William Cato",200,FL,0.218,0.159,8,8,1,7,Y,NA,NA,NA,NA,NA,Interventionist,1945
2174,"CRETELLA, Albert William",200,CT,0.127,-0.631,12,3,2,1,Y,NA,NA,NA,NA,Interventionist,Interventionist,1945
2206,"CROW, William Josiah",200,PA,0.319,-0.827,6,1,1,NA,Y,NA,Interventionist,NA,NA,NA,NA,1945
2227,"CRUMPACKER, Shepard J., Jr.",200,IN,0.257,-0.186,6,3,3,NA,N,NA,NA,NA,Interventionist,Fence Sitter,Fence Sitter,1945
2256,"CUNNINGHAM, Paul Harvey",200,IA,0.192,-0.191,28,9,6,1,N,Interventionist,Interventionist,Fence Sitter,Interventionist,Interventionist,Interventionist,1945
2267,"CURTIS, Carl Thomas",200,NE,0.492,-0.004,5,8,5,NA,N,Interventionist,Isolationist,Isolationist,Isolationist,Fence Sitter,NA,1945
2272,"CURTIS, Laurence",200,MA,0.167,-0.54,14,5,2,3,Y,NA,NA,NA,NA,Interventionist,Interventionist,1945
2275,"CURTIS, Thomas Bradford",200,MO,0.515,-0.69,6,9,3,6,N,NA,NA,NA,Fence Sitter,Fence Sitter,Interventionist,1945
2298,"DAGUE, Paul Bartram",200,PA,0.285,-0.282,19,10,5,5,N,NA,Interventionist,Isolationist,Interventionist,Fence Sitter,Interventionist,1945
2383,"DAVIS, Glenn Robert",200,WI,0.433,-0.196,5,10,5,5,N,NA,Interventionist,Isolationist,Fence Sitter,Isolationist,Fence Sitter,1945
2430,"DAWSON, William Adams",200,UT,0.2,-0.237,19,4,3,1,Y,NA,Interventionist,NA,NA,Interventionist,Interventionist,1945
2507,"DENNY, Harmar Denny, Jr.",200,PA,0.192,-0.27,6,1,1,NA,Y,NA,NA,NA,Interventionist,NA,NA,1945
2523,"DEROUNIAN, Steven Boghos",200,NY,0.358,-0.569,13,6,2,4,Y,NA,NA,NA,NA,Interventionist,Interventionist,1945
2531,"DEVEREUX, James Patrick Sinnott",200,MD,0.238,-0.327,21,4,3,1,Y,NA,NA,NA,Interventionist,Interventionist,Interventionist,1945
2534,"DEVITT, Edward James",200,MN,0.076,-0.722,8,1,1,NA,Y,NA,Interventionist,NA,NA,NA,NA,1945
2609,"DIRKSEN, Everett McKinley",200,IL,0.317,-0.498,7,8,2,NA,N,Fence Sitter,Interventionist,NA,NA,NA,NA,1945
2616,"DIXON, Henry Aldous",200,UT,0.21,-0.28,7,3,1,2,Y,NA,NA,NA,NA,NA,Interventionist,1945
2647,"DOLLIVER, James Isaac",200,IA,0.278,0.063,12,6,6,NA,N,Interventionist,Fence Sitter,Fence Sitter,Fence Sitter,Fence Sitter,Interventionist,1945
2653,"DONDERO, George Anthony",200,MI,0.339,-0.148,10,12,6,NA,N,Interventionist,Interventionist,Isolationist,Fence Sitter,Fence Sitter,Fence Sitter,1945
2671,"DORN, Francis Edwin",200,NY,0.044,-0.747,13,4,2,2,Y,NA,NA,NA,NA,Interventionist,Interventionist,1945
2827,"EATON, Charles Aubrey",200,NJ,0.264,-0.327,19,14,4,NA,N,Fence Sitter,Interventionist,Interventionist,Interventionist,NA,NA,1945
2935,"ELLSWORTH, Mathew Harris",200,OR,0.265,-0.092,26,7,6,NA,N,Interventionist,Interventionist,Isolationist,Interventionist,Interventionist,Interventionist,1945
2947,"ELSAESSER, Edward Julius",200,NY,0.139,-0.679,5,2,2,NA,N,Fence Sitter,Interventionist,NA,NA,NA,NA,1945
2948,"ELSTON, Charles Henry",200,OH,0.385,-0.483,11,7,4,NA,N,Interventionist,Interventionist,Fence Sitter,Fence Sitter,NA,NA,1945
2963,"ENGEL, Albert Joseph",200,MI,0.233,-0.609,12,8,3,NA,N,Interventionist,Interventionist,Fence Sitter,NA,NA,NA,1945
3096,"FELLOWS, Frank",200,ME,0.343,0.171,13,6,4,NA,N,Interventionist,Interventionist,Isolationist,Fence Sitter,NA,NA,1945
3105,"FENTON, Ivor David",200,PA,0.192,-0.447,29,12,6,3,N,Interventionist,Interventionist,Isolationist,Interventionist,Interventionist,Interventionist,1945
3158,"FINO, Paul Albert",200,NY,0.048,-0.363,7,8,2,6,N,NA,NA,NA,NA,Fence Sitter,Interventionist,1945
3215,"FLETCHER, Charles Kimball",200,CA,0.235,-0.318,8,1,1,NA,Y,NA,Interventionist,NA,NA,NA,NA,1945
3258,"FOOTE, Ellsworth Bishop",200,CT,0.099,-0.706,8,1,1,NA,Y,NA,Interventionist,NA,NA,NA,NA,1945
3268,"FORD, Gerald Rudolph, Jr.",200,MI,0.281,-0.433,26,13,4,9,Y,NA,NA,Interventionist,Interventionist,Interventionist,Interventionist,1945
3364,"FRELINGHUYSEN, Peter Hood Ballantine, Jr.",200,NJ,0.172,-0.506,5,11,2,9,N,NA,NA,NA,NA,Interventionist,Fence Sitter,1945
3396,"FULLER, Hadwen Carlton",200,NY,0.31,0.114,10,3,2,NA,Y,Interventionist,Interventionist,NA,NA,NA,NA,1945
3409,"FULTON, James Grove",200,PA,0.012,-0.503,38,14,6,8,Y,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,1945
3446,"GAMBLE, Ralph Abernethy",200,NY,0.242,-0.334,34,10,6,NA,Y,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,1945
3510,"GAVIN, Leon Harry",200,PA,0.215,-0.101,6,11,6,4,N,Fence Sitter,Interventionist,Isolationist,Fence Sitter,Isolationist,Fence Sitter,1945
3518,"GEARHART, Bertrand Wesley",200,CA,0.127,-0.099,11,7,2,NA,Y,Interventionist,Interventionist,NA,NA,NA,NA,1945
3534,"GEORGE, Myron Virgil",200,KS,0.268,-0.038,10,5,4,1,N,NA,NA,Fence Sitter,Isolationist,Interventionist,Interventionist,1945
3569,"GIFFORD, Charles Laceille",200,MA,0.315,-0.267,5,14,2,NA,N,Interventionist,Fence Sitter,NA,NA,NA,NA,1945
3592,"GILLESPIE, Dean Milton",200,CO,0.369,-0.463,4,2,1,NA,Y,Interventionist,NA,NA,NA,NA,NA,1945
3604,"GILLETTE, Wilson Darwin",200,PA,0.388,-0.057,10,6,4,NA,N,Interventionist,Interventionist,Fence Sitter,Fence Sitter,NA,NA,1945
3605,"GILLIE, George W.",200,IN,0.4,-0.232,4,5,2,NA,N,Interventionist,Isolationist,NA,NA,NA,NA,1945
3644,"GOFF, Abe McGregor",200,ID,0.266,-0.144,8,1,1,NA,Y,NA,Interventionist,NA,NA,NA,NA,1945
3682,"GOODWIN, Angier Louis",200,MA,0.349,-0.59,25,6,5,NA,N,Interventionist,Interventionist,Isolationist,Interventionist,Interventionist,NA,1945
3737,"GRAHAM, Louis Edward",200,PA,0.329,-0.314,14,8,5,NA,N,Interventionist,Interventionist,Isolationist,Fence Sitter,Interventionist,NA,1945
3831,"GRIFFITHS, Percy Wilfred",200,OH,0.449,-0.153,4,3,2,NA,N,Interventionist,Isolationist,NA,NA,NA,NA,1945
3851,"GROSS, Chester  Heilman",200,PA,0.463,-0.347,4,4,2,NA,N,Interventionist,Isolationist,NA,NA,NA,NA,1945
3867,"GUBSER, Charles Samuel",200,CA,0.205,-0.178,10,11,2,9,Y,NA,NA,NA,NA,Interventionist,Interventionist,1945
3888,"GWINN, Ralph Waldo",200,NY,0.466,-0.259,6,7,6,1,N,Fence Sitter,Interventionist,Fence Sitter,Fence Sitter,Fence Sitter,Fence Sitter,1945
3902,"HAGEN, Harold Christian",200,MN,0.099,-0.031,5,6,5,NA,N,Fence Sitter,Interventionist,Isolationist,Fence Sitter,Isolationist,NA,1945
3924,"HALE, Robert",200,ME,0.163,-0.163,40,8,6,1,Y,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,1945
3937,"HALL, Edwin Arthur",200,NY,0.209,-0.585,11,7,4,NA,N,Interventionist,Interventionist,Fence Sitter,Fence Sitter,NA,NA,1945
3946,"HALL, Leonard Wood",200,NY,0.222,-0.287,18,7,4,NA,N,Interventionist,Interventionist,Interventionist,Fence Sitter,NA,NA,1945
3963,"HALLECK, Charles Abraham",200,IN,0.272,-0.288,28,17,6,6,N,Fence Sitter,Interventionist,Fence Sitter,Interventionist,Interventionist,Interventionist,1945
4024,"HANCOCK, Clarence Eugene",200,NY,0.364,-0.067,5,10,1,NA,Y,Interventionist,NA,NA,NA,NA,NA,1945
4050,"HARDEN, Cecil Murray",200,IN,0.268,-0.216,13,5,4,1,N,NA,NA,Isolationist,Fence Sitter,Interventionist,Interventionist,1945
4155,"HARTLEY, Fred Allan, Jr.",200,NJ,0.195,-0.574,6,10,2,NA,N,Interventionist,Fence Sitter,NA,NA,NA,NA,1945
4165,"HARVEY, Ralph",200,IN,0.305,-0.011,9,9,5,4,N,NA,Fence Sitter,Isolationist,Fence Sitter,Interventionist,Interventionist,1945
4340,"HENRY, Robert Kirkland",200,WI,0.263,-0.254,4,1,1,NA,Y,Interventionist,NA,NA,NA,NA,NA,1945
4371,"HERTER, Christian Archibald",200,MA,0.169,-0.696,25,5,4,NA,Y,Interventionist,Interventionist,Interventionist,Interventionist,NA,NA,1945
4372,"HESELTON, John Walter",200,MA,0.098,-0.995,41,7,6,1,Y,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,1945
4373,"HESS, William Emil",200,OH,0.333,-0.381,22,14,5,2,N,Interventionist,Interventionist,NA,Fence Sitter,Interventionist,Interventionist,1945
4429,"HILL, William Silas",200,CO,0.247,-0.07,20,9,6,1,N,Interventionist,Interventionist,Fence Sitter,Fence Sitter,Interventionist,Interventionist,1945
4437,"HILLINGS, Patrick Jerome",200,CA,0.253,-0.418,17,4,3,1,Y,NA,NA,NA,Interventionist,Interventionist,Interventionist,1945
4450,"HINSHAW, John Carl Williams",200,CA,0.148,-0.284,28,9,6,NA,N,Interventionist,Interventionist,Fence Sitter,Interventionist,Interventionist,Interventionist,1945
4482,"HOEVEN, Charles Bernard",200,IA,0.317,0.009,10,11,6,4,N,Interventionist,Interventionist,Isolationist,Fence Sitter,Fence Sitter,Fence Sitter,1945
4537,"HOLMES, Otis Halbert",200,WA,0.058,-0.355,44,8,6,1,Y,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,1945
4538,"HOLMES, Pehr Gustaf",200,MA,0.294,-0.322,4,8,1,NA,Y,Interventionist,NA,NA,NA,NA,NA,1945
4543,"HOLT, Joseph Franklin, III",200,CA,0.271,-0.23,10,4,2,2,Y,NA,NA,NA,NA,Interventionist,Interventionist,1945
4562,"HOPE, Clifford Ragsdale",200,KS,0.231,0.095,31,15,6,NA,N,Interventionist,Interventionist,Fence Sitter,Interventionist,Interventionist,Interventionist,1945
4579,"HORAN, Walter Franklin (Walt)",200,WA,0.171,-0.053,22,11,6,4,N,Fence Sitter,Interventionist,Interventionist,Interventionist,Fence Sitter,Interventionist,1945
4592,"HOSMER, Craig",200,CA,0.276,-0.292,11,11,2,9,Y,NA,NA,NA,NA,Interventionist,Interventionist,1945
4648,"HOWELL, George Evan",200,IL,0.345,-0.547,4,4,2,NA,N,Interventionist,Fence Sitter,NA,NA,NA,NA,1945
4751,"HUNTER, Allan Oakley",200,CA,0.233,-0.127,7,2,2,NA,N,NA,NA,NA,Interventionist,Fence Sitter,NA,1945
4785,"HYDE, DeWitt Stephen",200,MD,0.187,-0.418,13,3,2,1,Y,NA,NA,NA,NA,Interventionist,Interventionist,1945
4846,"JACKSON, Donald Lester",200,CA,0.312,-0.28,13,7,5,2,N,NA,Interventionist,Fence Sitter,Fence Sitter,Interventionist,Fence Sitter,1945
4880,"JAMES, Benjamin Franklin",200,PA,0.277,-0.381,12,5,4,1,N,NA,NA,Isolationist,Interventionist,Interventionist,Fence Sitter,1945
4898,"JAVITS, Jacob Koppel",200,NY,-0.124,-0.992,26,4,4,NA,Y,NA,Interventionist,Interventionist,Interventionist,Interventionist,NA,1945
4915,"JENKINS, Mitchell",200,PA,0.116,-0.942,7,1,1,NA,Y,NA,Interventionist,NA,NA,NA,NA,1945
4917,"JENKINS, Thomas Albert",200,OH,0.376,-0.16,7,17,6,1,N,Fence Sitter,Isolationist,Isolationist,Isolationist,Fence Sitter,Interventionist,1945
4928,"JENSEN, Benton Franklin",200,IA,0.386,0.238,4,13,6,4,N,Interventionist,Fence Sitter,Isolationist,Isolationist,Isolationist,Fence Sitter,1945
4976,"JOHNSON, Justin Leroy",200,CA,0.099,-0.21,37,7,6,NA,Y,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,1945
5019,"JONAS, Charles Raper",200,NC,0.304,0.321,10,10,2,8,Y,NA,NA,NA,NA,Interventionist,Interventionist,1945
5036,"JONES, Homer Raymond",200,WA,0.062,-0.868,7,1,1,NA,Y,NA,Interventionist,NA,NA,NA,NA,1945
5072,"JONKMAN, Bartel John",200,MI,0.394,-0.3,11,5,2,NA,Y,Interventionist,Interventionist,NA,NA,NA,NA,1945
5083,"JUDD, Walter Henry",200,MN,0.1,-0.438,38,10,6,3,Y,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,1945
5109,"KEAN, Robert Winthrop",200,NJ,0.184,-0.873,32,10,6,1,N,Interventionist,Interventionist,Fence Sitter,Interventionist,Interventionist,Interventionist,1945
5110,"KEARNEY, Bernard William (Pat)",200,NY,0.207,-0.518,15,8,6,1,N,Fence Sitter,Interventionist,Fence Sitter,Interventionist,Fence Sitter,Fence Sitter,1945
5112,"KEARNS, Carroll Dudley",200,PA,0.171,-0.314,10,8,5,3,N,NA,Interventionist,Fence Sitter,Fence Sitter,Interventionist,Fence Sitter,1945
5116,"KEATING, Kenneth Barnard",200,NY,0.131,-0.991,33,6,5,1,Y,NA,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,1945
5119,"KEEFE, Frank Bateman",200,WI,0.215,-0.327,9,6,3,NA,N,Interventionist,Interventionist,Fence Sitter,NA,NA,NA,1945
5217,"KERSTEN, Charles Joseph",200,WI,0.16,-0.568,18,3,3,NA,Y,NA,Interventionist,NA,Interventionist,Interventionist,NA,1945
5235,"KILBURN, Clarence Evans",200,NY,0.335,0.091,22,13,6,4,N,Fence Sitter,Interventionist,Interventionist,Fence Sitter,Interventionist,Interventionist,1945
5288,"KINZER, John Roland",200,PA,0.414,-0.059,4,9,1,NA,Y,Interventionist,NA,NA,NA,NA,NA,1945
5377,"KUNKEL, John Crain",200,PA,0.15,-0.469,12,9,3,3,N,Interventionist,Interventionist,Isolationist,NA,NA,NA,1945
5400,"LA FOLLETTE, Charles Marion",200,IN,-0.125,-0.952,4,2,1,NA,Y,Interventionist,NA,NA,NA,NA,NA,1945
5434,"LANDIS, Gerald Wayne",200,IN,0.328,-0.465,4,5,2,NA,N,Interventionist,Isolationist,NA,NA,NA,NA,1945
5488,"LATHAM, Henry Jepson",200,NY,0.246,-0.556,29,7,6,1,N,Fence Sitter,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,1945
5552,"LE COMPTE, Karl Miles",200,IA,0.267,-0.068,23,10,6,1,N,Interventionist,Interventionist,Fence Sitter,Fence Sitter,Interventionist,Interventionist,1945
5580,"LE FEVRE, Jay",200,NY,0.28,-0.378,14,4,3,NA,N,Interventionist,Interventionist,Fence Sitter,NA,NA,NA,1945
5602,"LEMKE, William",200,ND,0.032,-0.102,4,8,3,NA,N,Interventionist,Isolationist,Fence Sitter,NA,NA,NA,1945
5656,"LICHTENWALTER, Franklin Herbert",200,PA,0.25,-0.597,5,2,2,NA,N,NA,Interventionist,Fence Sitter,NA,NA,NA,1945
5694,"LIPSCOMB, Glenard Paul",200,CA,0.358,-0.001,6,9,2,7,N,NA,NA,NA,NA,Fence Sitter,Interventionist,1945
5740,"LODGE, John Davis",200,CT,0.063,-0.681,14,2,2,NA,Y,NA,Interventionist,Interventionist,NA,NA,NA,1945
5803,"LOVRE, Harold Orrin",200,SD,0.306,0.05,5,4,4,NA,N,NA,NA,Fence Sitter,Interventionist,Fence Sitter,Fence Sitter,1945
5885,"MACK, Russell Vernon",200,WA,0.209,-0.172,13,7,5,2,N,NA,Interventionist,Fence Sitter,Interventionist,Isolationist,Fence Sitter,1945
5888,"MacKINNON, George Edward",200,MN,0.13,-0.418,8,1,1,NA,Y,NA,Interventionist,NA,NA,NA,NA,1945
5929,"MAILLIARD, William Somers",200,CA,0.117,-0.484,12,11,2,9,Y,NA,NA,NA,NA,Interventionist,Interventionist,1945
6033,"MARTIN, Joseph William, Jr.",200,MA,0.203,-0.56,26,21,6,5,N,Interventionist,Fence Sitter,Interventionist,Interventionist,Fence Sitter,Interventionist,1945
6039,"MARTIN, Thomas Ellsworth",200,IA,0.304,-0.17,4,8,5,NA,N,Interventionist,Isolationist,Isolationist,Isolationist,Fence Sitter,NA,1945
6070,"MATHEWS, Frank Asbury, Jr.",200,NJ,0.215,-0.363,5,2,2,NA,N,Fence Sitter,Interventionist,NA,NA,NA,NA,1945
6169,"McCONNELL, Samuel Kerns, Jr.",200,PA,0.271,-0.455,24,8,6,1,N,Interventionist,Interventionist,Fence Sitter,Interventionist,Interventionist,Fence Sitter,1945
6204,"McCULLOCH, William Moore",200,OH,0.287,-0.237,5,13,5,8,N,NA,Fence Sitter,Isolationist,Interventionist,Fence Sitter,Fence Sitter,1945
6220,"McDONOUGH, Gordon Leo",200,CA,0.205,-0.25,22,9,6,3,N,Interventionist,Interventionist,Fence Sitter,Fence Sitter,Interventionist,Interventionist,1945
6228,"McDOWELL, John Ralph",200,PA,0.247,-0.879,7,2,1,NA,Y,NA,Interventionist,NA,NA,NA,NA,1945
6262,"McGREGOR, J. Harry",200,OH,0.426,-0.298,4,10,6,1,N,Interventionist,Isolationist,Isolationist,Fence Sitter,Fence Sitter,Fence Sitter,1945
6345,"McMAHON, Gregory",200,NY,0.261,-0.602,7,1,1,NA,Y,NA,Interventionist,NA,NA,NA,NA,1945
6358,"McMILLEN, Rolla Coral",200,IL,0.297,-0.121,13,4,3,NA,N,Interventionist,Interventionist,Fence Sitter,NA,NA,NA,1945
6398,"MEADE, Wendell Howes",200,KY,0,-0.44,5,1,1,NA,Y,NA,Interventionist,NA,NA,NA,NA,1945
6399,"MEADER, George",200,MI,0.221,-0.161,13,7,3,4,N,NA,NA,NA,Interventionist,Fence Sitter,Interventionist,1945
6429,"MERRILL, D. Bailey",200,IN,0.274,-0.45,5,1,1,NA,Y,NA,NA,NA,NA,Interventionist,NA,1945
6437,"MERROW, Chester Earl",200,NH,0.06,-0.277,37,10,6,3,Y,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,Interventionist,1945
