congress,chamber,rollnumber,type_1,type_2,reverse_vote,bill_number,dtl_desc
81,House,131,econ,nonmilitary,N,S2319,"To Promote World Peace And The General Welfare, National Interest, And Foreign Policy Of The United States By Providing Aid To The Republic Of Korea. Senate Version"
81,Senate,152,econ,unspecified,Y,HR4830,Hr 4830. Committee Amend. Prohibiting Use By A Participating Country Of Local Counterpart Funds In Cases Where That Country Has Failed To Comply W/treaties With The U.S.
81,Senate,155,econ,unspecified,Y,HR4830,Hr 4830. Kem Motion To Suspend Paragraph 4 Of Senate Rule Xvi In Order To Offer An Amend. Which Would Prohibit Furnishing Money To Any Participating Country Which Undertakes To Acquire Or Operate Any Basic Industry For Operation By The State Or Agency Thereof.
81,House,190,econ,nonmilitary,N,HR7797,Provide Foreign Economic Assistance
81,Senate,191,gov,national,N,HR1211,Presidential Authorization On Tariffs
81,Senate,195,econ,security-military,Y,HR5895,Hr 5895. Promote The Foreign Policy And Provide For The Defense And General Welfare Of The U.S. By Furnishing Military Assistance To Foreign Nations. George Amend. To Reduce Appropriation Authorization By $200 Million.
81,House,196,gov,supranational,N,HJRE334,Joint Resolution To Amend Certain Laws Providfor Membership And Participation By The U.S. In Certain International Organizations. On Passage.
81,Senate,196,econ,nonmilitary,Y,HR5895,Hr 5895. Knowland Amend. To Reduce Appropriation Authorization By $100 Million And Contract Authority By $100 Million.
81,Senate,198,econ,security-military,N,HR5895,To Promote The Foreign Policy And Provide For The Defense And General Welfare Of The United States By Furnishing Military Assistance To Foreign Nations.
81,House,201,mil,draft,N,HR6826,Extend The Selective Service Act Of 1948 For A Period Of 3 Years. Adoption Of Conference Report.
81,House,208,gov,national,N,HR8083,Export-import Bank Us Investments Abroad
81,House,214,econ,security-military,N,S3809,Amend The Mutual Defense Assistance Act Of 1949. On Passage.
81,Senate,221,econ,unspecified,N,S2319,"Aid To Republic Of Korea, Pass"
81,House,248,mil,draft,N,S4029,"Amend. The Selective Service Act Of 1948, As Amended, So As To Provide For Special Registration, Classification, And Induction Of Certain Medical Dental, And Allied Specialist Categories."
81,House,269,econ,nonmilitary,N,HR9853,Emergency Relief Assistance To Yugoslavia. Passage
81,Senate,316,econ,nonmilitary,Y,S3304,"S 3304. Amend The Economic Cooperation Act Of 1948. Kem Amend. To Reduce By $1,000,000,000 The Authorized Appropriations."
81,Senate,317,econ,nonmilitary,Y,S3304,"S 3304. Taft Amend To Reduce By $500,000,000 The Authorized Appropriations."
81,Senate,318,econ,nonmilitary,Y,S3304,"S 3304. Bridges Amend. To Reduce By $250,000,000 The Authorized Appropriations."
81,Senate,328,econ,nonmilitary,N,S3304,Amend Economic Cooperation For European Recovery Act
81,Senate,361,econ,nonmilitary,N,HR7797,Hr 7797. Provide Foreign Economic Assistance. Adoption Of Conference Report.
81,Senate,364,mil,draft,N,HR6826,Extend The Selective Service Act Of 1948 For A Period Of 3 Years. Adoption Of Conference Report.
81,Senate,366,econ,security-military,N,S3809,S 3809. Amend The Mutual Defense Assistance Act Of 1949. Passage.
81,Senate,408,gov,national,Y,S3936,"S 3936. Bricker Amend. Eliminating Selective Controls, So That If And When Price Controls Are Put Into Effect, Wage Controls Also Will Be Applied."
81,Senate,410,gov,national,Y,S3936,S 3936. Capehart Amend. Eliminating Title Dealing W/price And Wage Stabilization.
81,Senate,413,gov,national,N,HR9176 ,Hr 9176 (same As S 3936) Passage.
81,Senate,448,econ,nonmilitary,Y,S4234,S 4234. Emergency Relief Assistance To Yugoslavia. Knowland Motion To Recommit With Instructions That It Must Be Reported Back Forthwith.
81,Senate,449,econ,nonmilitary,N,S4234,"Emergency Relief Assistance To Yugoslavia, Pass"
82,House,4,mil,appropriations,N,HR1001,Auth The Con Of Modern Naval Vesses
82,Senate,19,mil,draft,N,S1,Universal Military Training
82,House,30,mil,appropriations,N,HR3096,"Bill Relating To The Acquisition And Disposition Of Land And Interests In Land By The Army, Navy, Air Force, And Fed. Civil Defense Admin. On Question, Will The House, On Reconsideration Pass The Bill, The Objections Of The Pres. To The Contrary Notwithstanding."
82,House,35,econ,nonmilitary,N,S872,Furnish Emergency Food Aid To India
82,House,37,mil,draft,N,S1,Universal Military Training
82,Senate,46,econ,nonmilitary,N,S872,S 872. Furnish Emergency Food Aid To India. Ferguson Amend. To Committee Amend. And Portion Of Text Of Bill Providing That All Aid Under Bill Shall Be On A Loan Basis; That Funds For Loan Shall Be From Existing Eca Appropriations; And Providing That Credit Shall Be Based On Agreement W/india For Materials In Which U.S. Resources Are Deficient.
82,Senate,47,gov,national,Y,HR1612,Hr 1612. Extend The Authority Of The Pres. To Enter Into Trade Agreements Under Section 350 Of The Tariff Act. Malone Amend. As Substitute.
82,Senate,48,gov,national,N,HR1612,Extend The Authority Of The Pres. To Enter Into Trade Agreements Under Section 350 Of The Tariff Act
82,House,85,econ,security-military,N,HR5113,Mutual Security Act (replaced Marshall Plan)
82,House,88,econ,nonmilitary,N,S2006,Increase The Lending Authority Of Export-import Bank Of Washington And Extend The Period Within Which The Bank May Make Loans. Passage.
82,Senate,88,gov,national,N,S1717,Defense Production Act
82,House,99,econ,unspecified,N,HR4740,"Ppropriations For The Depts. Of State, Justice, Commerce, And The Judiciary. Conference Report. On Motion To Recede And Concur In Senate Amend. No. 103, W/an Amend. (relating To Us Contributions To International Organizations.)"
82,House,100,econ,security-military,N,HR5684,Appropriations For Mutual Security Act
82,Senate,132,gov,national,N,HR4740,"Hr 4740. Mundt Amend. Increasing By $22,000,000 Funds For Voice Of America."
82,House,138,mil,appropriations,N,HR7391,Defense Appropriations
82,Senate,139,econ,unspecified,N,HR5113,"Hr 5113. Green Amend. To Increase By $1,000,000,000 Authorization For Funds."
82,Senate,141,econ,nonmilitary,Y,HR5113,"Hr 5113. Dirksen Amend. Reducing By $250,000,000 Authorized Funds For Economic Aid To Europe."
82,Senate,142,econ,security-military,Y,HR5113,"Hr 5113. Long Amend. Reducing By $250,000,000 Authorized Funds For Military Assistance To Europe."
82,Senate,150,econ,security-military,N,HR5113,Mutual Security Act
82,House,153,econ,security-military,N,HR7005,"An Act To Amend The Mutual Security Act Of 1951, And For Other Purpose"
82,House,155,mil,appropriations,N,HJRED4667,"Joint Resolution To Continue The Effectiveness Of Certain Statutory Provisions For The Duration Of The National Emergency Proclaimed Dec. 16, 1950, And 6 Months Thereafter, But Not Beyond June 30, 1953."
82,House,156,mil,construction,N,HR8120,Const At Cert Mil Bases
82,Senate,191,gov,national,N,S2170,Defense Production Act
82,Senate,198,econ,security-military,N,HR5684,Appo For Mutual Security Act
82,Senate,239,econ,security-military,N,S3086,Amend 1951 Mutual Security Act
82,Senate,268,econ,security-military,N,HR7005,Hr 7005. Amend The Mutual Security Act Of 1950. Adoption Of Conference Report
82,Senate,305,mil,appropriations,Y,HR7391,"Hr 7391. Morse Amend. Reducing By $540 Million Funds For Maintenance And Operation, Air Force."
82,Senate,306,mil,appropriations,Y,HR7391,"Hr 7391. Morse Amend. Reducing By $200 Million Funds For Maintenance And Operation, Air Force."
82,Senate,307,mil,appropriations,N,HR7391,Defense Dept. Appo
83,House,38,econ,nonmilitary,N,HR5659,Provide For The Transfers Of Price-support Wheat To Pakistan
83,House,43,mil,appropriations,N,HR5969,Defenseappropriations
83,House,50,econ,security-military,N,HR5710,Amend Mutual Security Act
83,House,51,gov,national,N,HR6200,Hr 6200. Supplemental Appropriations For The Fiscal Year Ending June 30 1954. Motion To Recommit With Instructions. (voice Of America)
83,Senate,54,econ,security-military,Y,S2128,"S. 2128. Goldwater Amend. Respecting Aid To France And Associated States Of Cambodia, Laos, And Viet-nam For Mutual Defense Assistance Providing That Mutual Security As To Associated States Be Administered So As To Encourage Their Self-gov't."
83,Senate,55,econ,unspecified,N,S2128,"S. 2128. Case Motion To Table Long Motion To Recommit W/instructions To Report Back By July 15, 1953, W/reductions So As To Provide A Total Of $3,818,732,500."
83,Senate,56,econ,unspecified,Y,S2128,"S. 2128. Long Motion To Recommit W/instructions To Report Back By July 15, 1953, W/reductions So As To Provide A Total Of $3,818,732,500."
83,House,66,econ,security-military,Y,HR6391,Appropriations For Mutual Security. Motion To Recommit Conference Report.
83,House,67,econ,security-military,N,HR6391,Approprations For Mutual Security
83,House,72,mil,appropriations,N,HR5337,Hr 5337. Provide For The Establishment Of A U.S. Air Force Academy. Passage.
83,Senate,76,mil,appropriations,N,HR5969,Hr 5969. Maybank Amend. Increasing By $400 Million Funds For Air Force.
83,Senate,83,econ,security-military,Y,HR6391,"Hr 6391. Appropriations For Mutual Security. Long Amend. Providing That Not More Than $6,196,688,179 Of The Aggregate Appropriated Shall Be Available For Obligation."
83,Senate,84,econ,unspecified,Y,HR6391,Hr 6391. Mc Carthy Motion To Suspend The Rules For The Purpose Of Proposing An Amend. To Reduce Assistance To Any Recipient Nation By $1 Million For Each Cargo Of Communist Goods Shipped Prior To Date On Which Communist China Becomes Party To Final Korean Peace.
83,Senate,85,econ,security-military,Y,HR6391,Hr 6391. Ellender Amend. To Reduce By $500 Million Funds For Military Assistance To Europe.
83,Senate,86,econ,nonmilitary,Y,HR6391,"Hr 6391. Ellender Amend. To Reduce By $71,800,000 Funds For Mutual Defense Financing, Economic And Technical Assistance To Europe."
83,Senate,87,econ,unspecified,Y,HR6391,"Hr 6391. Jenner Amend. Limiting To $5,580,000,000 Aggregate Funds Available To Countries Covered By Measure."
83,Senate,88,econ,security-military,Y,HR6391,Hr 6391. Gore Amend. Eliminating $50 Million For Mutual Special Weapons Planning.
83,Senate,89,econ,security-military,N,HR6391,Mutual Security Act Appo
83,House,90,mil,appropriations,N,HR8873,Appropriations For The Dept. Of Defense And Related Independent Agencies
83,Senate,97,gov,treaty,N,,"Korea Mutual Defense Treaty (exec. A, 83rd Cong. 2nd Sess.) Provide That The U.S. And The Republic Of Korea Undertake To Settle Peacefully Any International Dispute; Consult When The Political Independence Or Security Of Either Is Threatened By External Armed Attack And Jointly And Separately Develop Means To Deter Such Attack; Recognize That An Armed Attack On Territories In The Pacific Under The Control Of Either Would Be Dangerous To Peace And Security Of Both, And That Each Would Take Action To Meet The Common Danger; And Grant The U.S. The Right To Dispose Its Armed Forces In Korea By Mutual Agreement."
83,House,99,mil,construction,N,HR9242,Const At Ak Mil Bases
83,House,107,gov,national,N,SCRE91,Concurrent Resolution To Express The Sense Of Congress On Interference In Western Hemisphere Affairs By The Soviet Communists.
83,House,109,econ,security-military,N,HR9678,"An Act To Promote The Security And Foreign Policy Of The United States By Furnishing Assistance To Friendly Nations, And For Other Purposes"
83,House,117,gov,supranational,N,HRE627,Oppose Red China In Un
83,House,141,econ,security-military,Y,HR9678,Promote The Security And Foreign Policy Of The Us By Furnishing Assistance To Friendly Nations. On Motion To Recommit.
83,House,144,econ,nonmilitary,N,HR10051,Mutual Aid Appropriations
83,Senate,163,mil,appropriations,N,HR8873,"Hr 8873. Appropriations For The Dept. Of Defense And Related Independent Agencies. Kennedy Amend. To Increase By $150,466,000 Funds For Army Military Personnel, And To Increase By $200 Million Funds For Army Maintenance And Operations."
83,Senate,166,gov,national,N,HR9474,Extend Pres. Auth To Enter Into Trade Agreements
83,Senate,168,gov,national,N,SCRE109,S. Con. Res. 91. Concurrent Resolution To Express The Sense Of Congress On Interference In Western Hemisphere Affairs By The Soviet Communists.
83,Senate,208,econ,nonmilitary,Y,HR9678,Hr 9678. Promote The Security And Foreign Policy Of The U.S. By Furnishing Assistance To Friendly Nations. Capehart Amends. To Earmark $750 Million Rather Than $150 Million Of Nonmilitary Funds For Furnishing Assistance In The Form Of Loans Rather Than Gifts
83,Senate,218,econ,nonmilitary,Y,HR9678,"Hr 9678. Long Amend. Limiting Authorization For Appropriations To $2,559 Million."
83,Senate,219,econ,security-military,N,HR9678,Mutual Security Act (p.L. 83-665)
83,Senate,243,econ,security-military,Y,HR10051,Hr 10051. Appropriations For Mutual Security. Maybank Amend. To Reduce Funds For Military Assistance By $200 Million.
84,House,2,gov,national,N,HJRES159,Formosa Policy. Authorize President To Use Armed Forces To Protect Formosa And Related Territories. Passed.
84,Senate,5,gov,national,N,HJRES159,H.J.Res. 159. Formosa Policy. Passed.
84,Senate,6,gov,treaty,N,,"Exec K, 83rd Congress, 2d Session. Southeast Asia Collective Defense Treaty. Provide For Mutual Defense Among Eight Nations Against Communist Attack And Internal Subversion. Two-thirds Majority Required. Ratified."
84,Senate,7,gov,treaty,Y,,"Exec A, 84th Congress, 1st Session. China Mutual Defense Treaty. Provide For Mutual Defense Between U.S. And Republic Of China. Morse Amendment That Treaty Not Affect Legal Status Or Sovereignty Of Territories To Which It Applies. Rejected."
84,Senate,8,gov,treaty,Y,,"Exec A, 84th Congress, 1st Session. China Mutual Defense Treaty. Morse Amendment To Eliminate Treaty Provision That Would Allow Expansion Of Territory Covered In Treaty. Rejected."
84,Senate,9,gov,treaty,N,,"Exec A, 84th Congress, 1st Session. China Mutual Defense Treaty. Two-thirds Majority Required. Ratified."
84,House,14,mil,appropriations,N,HR2607,Hr 2607. Military Pay. Provide Incentive Pay Raise And Other Fringe Benefits For Enlisted Men And Officers. Passed.
84,House,15,gov,supranational,N,HR4903,Restore Un Funds
84,Senate,27,gov,treaty,N,,"Two German Treaties. Exec L, 83rd Congress, 2d Session, To End Occupation Of Germany. Exec M, 83rd Congress, 2d Session, To Provide Accession Of Federal Republic Of Germany To Nato. Two-thirds Majority Required. Both Ratified. (single Roll Call Was Taken, But Results Recorded Separately On Both Treaties."
84,Senate,28,gov,treaty,N,,"Exec R, 83rd Congress, 1st Session. Renew International Telecommunications Agreement. Two-thirds Majority Required. Ratified."
84,House,34,mil,appropriations,N,HR6042,Fiscal 1956 Defense Appropriations. Passed.
84,Senate,35,econ,nonmilitary,N,HR1,Hr. 1. Reciprocal Trade Extension. Passed.
84,Senate,44,econ,security-military,Y,S2090,S. 2090. Mutual Security Act Of 1955. Authorize Funds For Military And Economic Assistance To Friendly Nations. Knowland Amendment To Potter Amendment (cq 45) To Provide That 50 Percent Of Economic Development Funds Be Available On Loan. Rejected.
84,Senate,45,econ,security-military,Y,S2090,S. 2090. Mutual Security Act Of 1955. Potter Amendment To Provide That 75 Percent Of Economic Development Funds Be Available On Loan. Rejected.
84,House,47,gov,supranational,N,HCONRES109,Authorize Congressional Delegation To Attend Nato Parliamentary Conference. Suspension Of Rules. Twothirds Majority Required. Adopted.
84,Senate,47,econ,security-military,Y,S2090,S. 2090. Mutual Security Act Of 1955. Jenner Amendment To Recommit To Armed Services And Foreign Relations Committee With Instructions To Report Two Bills One For Military Aid And One For The Balance Of The Authorization. Rejected.
84,Senate,48,econ,security-military,Y,S2090,S. 2090. Mutual Security Act Of 1955. Long Amendment To Reduce Overall Authorization. Rejected.
84,Senate,49,econ,security-military,Y,S2090,S. 2090. Mutual Security Act Of 1955. Mccarthy Amendment That No Funds Be Made Available To Any Country Exporting Goods To Red China While The Latter Holds U.S. Prisoners. Rejected.
84,Senate,50,econ,security-military,Y,S2090,S. 2090. Mutual Security Act Of 1955. Ellender Amendment To Eliminate $200 Million President's Fund For Asian Economic Development. Rejected.
84,Senate,52,econ,security-military,N,S2090,S. 2090. Mutual Security Act Of 1955. Passed. (see Cq 71.)
84,House,54,mil,draft,Y,HR3005,Hr 3005. Extend Universal Military Training And Dependents Assistance Acts One Year And Doctors' Draft Law For Two Years. Mason Motion To Recommit Conference Report. Rejected.
84,House,55,mil,draft,N,HR3005,Selective Service. Extension Of Universal Military Training And Service Act And Dependents Assistance Act For Four Years. Passed.
84,House,57,econ,security-military,N,S2090,Mutual Security Act Of 1955. Authorize Military And Economic Assistance To Friendly Nations. Passed
84,Senate,57,gov,treaty,N,,"Exec G, 84th Congress, 1st Session. Austrian State Treaty. Provide For Re-establishment Of An Independent And Democratic Austria. Two-thirds Majority Required. Ratified."
